,strDrink,idDrink,strDrinkAlternate,strDrinkES,strDrinkDE,strDrinkFR,strDrinkZH-HANS,strDrinkZH-HANT,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsZH-HANS,strInstructionsZH-HANT,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strCreativeCommonsConfirmed,dateModified
151,Angel Face,11034,,,,,,,"IBA,Classic",,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass.,,Alle Zutaten mit Eis schütteln und in ein Cocktailglas abseihen.,,,,Apricot brandy,Apple brandy,Gin,,,,,,,,,,,,,1/2 oz ,1/2 oz ,1 oz ,,,,,,,,,,,,,No,2016-11-04 09:52:58
152,Archbishop,11052,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.",,"In einem old-fashioned Glas, das fast mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren.",,,,Gin,Wine,Benedictine,Lime,,,,,,,,,,,,2 oz ,1 oz Green Ginger ,1 tsp ,1 ,,,,,,,,,,,,Yes,2015-09-02 16:21:47
153,Arthur Tompkins,11054,,,,,,,,,Ordinary Drink,,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, den Gin, Grand Marnier und Zitronensaft mischen. Gut schütteln. In ein Sour Glas abseihen und mit der gedrehten Zitrone garnieren.",,,,Gin,Grand Marnier,Lemon juice,Lemon peel,,,,,,,,,,,,2 oz ,1/2 oz ,2 tsp ,1 twist of ,,,,,,,,,,,,No,2017-04-24 22:05:21
154,Artillery,11055,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis verrühren, in ein Cocktailglas abseihen und servieren.",,,,Sweet Vermouth,Gin,Bitters,,,,,,,,,,,,,1 1/2 tsp ,1 1/2 oz ,2 dashes ,,,,,,,,,,,,,No,2017-04-24 22:02:27
155,AT&T,13938,,,,,,,,,Ordinary Drink,,Alcoholic,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",,"Wodka und Gin über das Eis gießen, Tonic hinzufügen und umrühren.",,,,Absolut Vodka,Gin,Tonic water,,,,,,,,,,,,,1 oz ,1 oz ,4 oz ,,,,,,,,,,,,,No,2017-04-24 22:00:19
156,Aviation,17180,,,,,,,"IBA,Classic",,Cocktail,Unforgettables,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,,Alle Zutaten in den mit Eis gefüllten Cocktailshaker geben. Gut schütteln und in ein Cocktailglas abseihen. Mit einer Kirsche garnieren.,,,,Gin,lemon juice,maraschino liqueur,,,,,,,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,,,,,,,No,2016-11-04 09:55:28
157,Bermuda Highball,11084,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",,"Gießen Sie Brandy, Gin und trockenen Wermut in ein Highball-Glas über Eiswürfel. Mit kohlensäurehaltigem Wasser auffüllen und umrühren. Die Zitrone hinzufügen und servieren. (Wasser kann durch Ginger Ale ersetzt werden, wenn gewünscht.)",,,,Brandy,Gin,Dry Vermouth,Carbonated water,Lemon peel,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,,,,,,,,,,,,,No,2015-09-02 16:08:48
158,Bermuda Highball,11084,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",,"Gießen Sie Brandy, Gin und trockenen Wermut in ein Highball-Glas über Eiswürfel. Mit kohlensäurehaltigem Wasser auffüllen und umrühren. Die Zitrone hinzufügen und servieren. (Wasser kann durch Ginger Ale ersetzt werden, wenn gewünscht.)",,,,Brandy,Gin,Dry Vermouth,Carbonated water,Lemon peel,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,,,,,,,,,,,,,No,2015-09-02 16:08:48
159,Bermuda Highball,11084,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",,"Gießen Sie Brandy, Gin und trockenen Wermut in ein Highball-Glas über Eiswürfel. Mit kohlensäurehaltigem Wasser auffüllen und umrühren. Die Zitrone hinzufügen und servieren. (Wasser kann durch Ginger Ale ersetzt werden, wenn gewünscht.)",,,,Brandy,Gin,Dry Vermouth,Carbonated water,Lemon peel,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,,,,,,,,,,,,,No,2015-09-02 16:08:48
160,Bermuda Highball,11084,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",,"Gießen Sie Brandy, Gin und trockenen Wermut in ein Highball-Glas über Eiswürfel. Mit kohlensäurehaltigem Wasser auffüllen und umrühren. Die Zitrone hinzufügen und servieren. (Wasser kann durch Ginger Ale ersetzt werden, wenn gewünscht.)",,,,Brandy,Gin,Dry Vermouth,Carbonated water,Lemon peel,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,,,,,,,,,,,,,No,2015-09-02 16:08:48
161,Bijou,17254,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,"Stir in mixing glass with ice and strain
",,In Mischglas mit Eis verrühren und abseihen.,,,,Orange Bitters,Green Chartreuse,Gin,Sweet Vermouth,,,,,,,,,,,,1 dash,1 oz,1 oz,1 oz,,,,,,,,,,,,No,2017-12-19 18:09:45
162,Bluebird,11120,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",,"In einem Mischglas, das halb mit Crushed Ice gefüllt ist, den Gin, Triple Sec, Curacao und Bitter vermengen. Gut umrühren. In ein Cocktailglas abseihen und mit Zitronenschale und Kirsche garnieren.",,,,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,2 dashes ,1 ,1 twist of ,,,,,,,,,,Yes,2015-09-02 17:06:11
163,Bombay Cassis,17242,,,,,,,,,Cocktail,,Alcoholic,Balloon Glass,"Add the Bombay Sapphire, Crème de Cassis and lime juice to a balloon glass and swirl well to mix.
Fill the glass with good quality cubed ice.
Top up with chilled and freshly opened Fever-Tree Ginger Beer.
Gently stir to combine, top with a gently squeezed lime wedge and finish with a fresh ginger slice.",,"Den Bombay Saphir, Creme de Cassis und Limettensaft in ein Ballonglas geben und gut verrühren. Füllen Sie das Glas mit Eiswürfel. Mit gekühltem und frisch geöffnetem Fever-Tree Ginger Bier auffüllen. Zum Mischen leicht umrühren, mit einem leicht ausgedrückten Limettenkeil belegen und mit einer frischen Ingwerscheibe abschließen.",,,,Gin,Creme de Cassis,Fresh Lime Juice,Ginger beer,Lime,Ginger,,,,,,,,,,50 ml,20 ml,15 ml,75 ml,1,1 long strip,,,,,,,,,,No,2017-11-08 10:28:28
164,Boomerang,11124,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",,"In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, den Gin, Wermut, Bitter und Maraschino-Likör vermengen. Gut umrühren. In ein Cocktailglas abseihen und mit der Kirsche garnieren.",,,,Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,,,,,,,,2 oz ,1/2 oz ,2 dashes ,1/2 tsp ,1 ,,,,,,,,,,,No,2017-09-02 22:59:12
165,Boxcar,11149,,,,,,,,,Ordinary Drink,,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Sour Glas abseihen.",,,,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,,,,,,,,1 1/2 oz ,1 oz ,1 tsp ,1/2 tsp ,1 ,,,,,,,,,,,No,2017-09-02 16:32:57
166,Bramble,17210,,,,,,,"IBA,NewEra",,Ordinary Drink,New Era Drinks,Alcoholic,Old-Fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",,"Füllen Sie das Glas mit zerstoßenem Eis. Den Gin, den Zitronensaft und den Sirup dazugeben. Rühren Sie um und gießen Sie dann Brombeerlikör kreisförmig darüber, um einen Marmoriereffekt zu erzielen. Mit zwei Brombeeren und einer Zitronenscheibe garnieren.",,,,Gin,lemon juice,Sugar syrup,Creme de Mure,,,,,,,,,,,,4 cl,1.5 cl,1 cl,1.5 cl,,,,,,,,,,,,No,2017-09-02 18:15:26
167,Casino,17185,,,,,,,IBA,,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,,Alle Zutaten in den Shaker mit Eiswürfeln geben. Gut schütteln. In ein gekühltes Cocktailglas abseihen. Mit einer Zitronenscheibe und einer Maraschinokirsche garnieren. Ohne Strohhalm servieren.,,,,Gin,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,,,,,,,,,,2 oz ,1/4 tsp ,1/4 tsp ,2 dashes ,1 ,,,,,,,,,,,No,2017-09-02 11:36:19
168,Casino Royale,11224,,,,,,,,,Ordinary Drink,,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Sour Glas abseihen.",,,,Gin,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,,,,,,,,,,2 oz ,1/2 oz ,1 tsp ,1 dash ,1 ,,,,,,,,,,,No,2017-09-02 16:38:19
169,Clover Club,17186,,,,,,,"IBA,Classic",,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",,"Zutaten zur Emulsion mischen, Eis hinzufügen, schütteln und direkt servieren.",,,,Gin,Grenadine,Lemon,Egg white,,,,,,,,,,,,1 1/2 oz ,2 tsp ,Juice of 1/2 ,1 ,,,,,,,,,,,,No,2017-09-02 11:38:35
170,Corpse Reviver #2,17250,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,"Shake, strain, straight up, cocktail glass rinsed with absinthe
",,"Schütteln, abseihen, aufrichten, Cocktailglas mit Absinth gespült.",,,,Gin,Triple Sec,Lillet Blanc,Lemon Juice,Absinthe,,,,,,,,,,,3/4 oz,3/4 oz,3/4 oz,3/4 oz,1 dash,,,,,,,,,,,No,2017-12-19 17:25:34
171,Derby,17187,,,,,,,"Classic,IBA",,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,,Alle Zutaten in ein Mischglas mit Eis geben. Rühren. In ein Cocktailglas abseihen. Mit einem Zweig frischer Minze im Getränk garnieren.,,,,gin,Peach Bitters,Mint,,,,,,,,,,,,,6 cl,2 dashes,2 Fresh leaves,,,,,,,,,,,,,No,2017-09-02 11:45:56
172,Dragonfly,11320,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.",,"In einem Highball-Glas, das fast mit Eiswürfeln gefüllt ist, den Gin mit dem Ginger Ale vermengen. Gut umrühren. Mit dem Limettenkeil garnieren.",,,,Gin,Ginger ale,Lime,,,,,,,,,,,,,1 1/2 oz ,4 oz ,1 ,,,,,,,,,,,,,Yes,2017-09-02 22:51:40
173,Dry Martini,11005,,,,,,,"IBA,Classic",,Cocktail,Unforgettables,Alcoholic,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",,,,,,Gin,Dry Vermouth,Olive,,,,,,,,,,,,,1 2/3 oz ,1/3 oz ,1 ,,,,,,,,,,,,,Yes,2017-09-02 12:51:35
174,Dubonnet Cocktail,11326,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,,Alle Zutaten (außer Zitronenschale) mit Eis verrühren und in ein Cocktailglas abseihen. Die Zitronenschale hinzufügen und servieren.,,,,Dubonnet Rouge,Gin,Bitters,Lemon peel,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,1 dash ,1 twist of ,,,,,,,,,,,,Yes,2015-08-13 10:12:27
175,English Highball,11338,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",,"Gießen Sie Brandy, Gin und süßen Wermut in ein Highball-Glas über Eiswürfel. Mit kohlensäurehaltigem Wasser auffüllen. Die Zitronenschale hinzufügen, umrühren und servieren. (Ginger Ale kann durch kohlensäurehaltiges Wasser ersetzt werden, wenn gewünscht.)",,,,Brandy,Gin,Sweet Vermouth,Carbonated water,Lemon peel,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,,,,,,,,,,,,,No,2017-09-04 11:09:12
176,English Highball,11338,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",,"Gießen Sie Brandy, Gin und süßen Wermut in ein Highball-Glas über Eiswürfel. Mit kohlensäurehaltigem Wasser auffüllen. Die Zitronenschale hinzufügen, umrühren und servieren. (Ginger Ale kann durch kohlensäurehaltiges Wasser ersetzt werden, wenn gewünscht.)",,,,Brandy,Gin,Sweet Vermouth,Carbonated water,Lemon peel,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,,,,,,,,,,,,,No,2017-09-04 11:09:12
177,English Highball,11338,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",,"Gießen Sie Brandy, Gin und süßen Wermut in ein Highball-Glas über Eiswürfel. Mit kohlensäurehaltigem Wasser auffüllen. Die Zitronenschale hinzufügen, umrühren und servieren. (Ginger Ale kann durch kohlensäurehaltiges Wasser ersetzt werden, wenn gewünscht.)",,,,Brandy,Gin,Sweet Vermouth,Carbonated water,Lemon peel,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,,,,,,,,,,,,,No,2017-09-04 11:09:12
178,English Highball,11338,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",,"Gießen Sie Brandy, Gin und süßen Wermut in ein Highball-Glas über Eiswürfel. Mit kohlensäurehaltigem Wasser auffüllen. Die Zitronenschale hinzufügen, umrühren und servieren. (Ginger Ale kann durch kohlensäurehaltiges Wasser ersetzt werden, wenn gewünscht.)",,,,Brandy,Gin,Sweet Vermouth,Carbonated water,Lemon peel,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,,,,,,,,,,,,,No,2017-09-04 11:09:12
179,English Rose Cocktail,11339,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,,Reiben Sie den Rand des Cocktailglases mit Zitronensaft ein und tauchen den Rand des Glases in Puderzucker. Alle Zutaten (außer Kirsche) mit Eis schütteln und in das zuckerummantelte Glas abseihen. Mit der Kirsche garnieren und servieren.,,,,Apricot brandy,Gin,Dry Vermouth,Grenadine,Lemon juice,Cherry,,,,,,,,,,3/4 oz ,1 1/2 oz ,3/4 oz ,1 tsp ,1/4 tsp ,1 ,,,,,,,,,,No,2015-09-02 16:44:57
180,Flying Dutchman,11368,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.",,"In einem old-fashioned Glas, das fast mit Eiswürfeln gefüllt ist, den Gin und Triple Sec vermengen. Gut umrühren.",,,,Gin,Triple sec,,,,,,,,,,,,,,2 oz ,1/2 oz ,,,,,,,,,,,,,,Yes,2017-09-04 11:12:38
181,"French ""75""",11379,,,,,,,,,Ordinary Drink,,Alcoholic,Collins glass,"In a shaker half-filled with ice cubes, combine the gin, sugar, and lemon juice. Shake well. Pour into a collins glass. Top with the Champagne. Stir well and garnish with the orange slice and the cherry.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, Gin, Zucker und Zitronensaft mischen. Gut schütteln. In ein Collins-Glas gießen. Mit dem Champagner auffüllen. Gut umrühren und mit der Orangenscheibe und der Kirsche garnieren.",,,,Gin,Sugar,Lemon juice,Champagne,Orange,Maraschino cherry,,,,,,,,,,1 1/2 oz ,2 tsp superfine ,1 1/2 oz ,4 oz Chilled ,1 ,1 ,,,,,,,,,,Yes,2015-08-18 15:08:23
182,French 75,17197,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Collins glass,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",,"Gin, Zucker und Zitronensaft in einem mit Eis gefüllten Cocktailshaker mischen. Kräftig schütteln und in ein gekühltes Champagnerglas abseihen. Mit Champagner auffüllen. Vorsichtig umrühren.",,,,Gin,Sugar,Lemon juice,Champagne,Orange,Maraschino cherry,,,,,,,,,,1 1/2 oz ,2 tsp superfine ,1 1/2 oz ,4 oz Chilled ,1 ,1 ,,,,,,,,,,No,2017-09-02 17:10:15
183,French Negroni,17248,,,,,,,,,Cocktail,,Alcoholic,Martini Glass,"Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.",,Füge Eis in einen Shaker und gieße alle Zutaten ein. Rühren Sie mit einem Barlöffel 40 bis 45 Umdrehungen oder bis zur vollständigen Abkühlung. In ein Martini-Glas oder über Eis in ein Rocks Glas abseihen. Mit Orangenspirale garnieren.,,,,Gin,Lillet,Sweet Vermouth,Orange Peel,,,,,,,,,,,,1 oz,1 oz,1 oz,1,,,,,,,,,,,,No,2017-12-19 17:06:07
184,Gentleman's Club,11396,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.",,,,,,Gin,Brandy,Sweet Vermouth,Club soda,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,Yes,2017-09-08 16:08:56
185,Gentleman's Club,11396,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.",,,,,,Gin,Brandy,Sweet Vermouth,Club soda,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,Yes,2017-09-08 16:08:56
186,Gentleman's Club,11396,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.",,,,,,Gin,Brandy,Sweet Vermouth,Club soda,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,Yes,2017-09-08 16:08:56
187,Gentleman's Club,11396,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.",,,,,,Gin,Brandy,Sweet Vermouth,Club soda,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,Yes,2017-09-08 16:08:56
188,Gimlet,17255,,,,,,,,,Cocktail,,Alcoholic,Martini Glass,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.",,Alle Zutaten in einen Shaker geben und mit Eis füllen. Schütteln und in ein gekühltes Cocktailglas oder ein mit frischem Eis gefülltes Old Fashioned Glas abseihen. Mit einer Limettenscheibe garnieren.,,,,Gin,Lime Juice,Sugar Syrup,Lime,,,,,,,,,,,,2 1/2 oz,1/2 oz,1/2 oz,1,,,,,,,,,,,,No,2017-12-19 18:14:32
189,Gin And Tonic,11403,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.,,"Gießen Sie den Gin und das Tonic Water in ein Highball-Glas, das fast mit Eiswürfeln gefüllt ist. Gut umrühren. Mit dem Limettenkeil garnieren.",,,,Gin,Tonic water,Lime,,,,,,,,,,,,,2 oz ,5 oz ,1 ,,,,,,,,,,,,,Yes,2016-08-28 18:37:11
190,Gin Basil Smash,178314,,,,,,,"Europe,Summer",,Cocktail,,Alcoholic,Highball glass,"Muddle Basil leaves (~ 10) with Suggar Syrup in a shaker. Add Gin an Lemon Juice.
Filter and serve in a tumbler with ice",,,,,,Gin,Lemon Juice,Sugar Syrup,Basil,,,,,,,,,,,,6 cl,2 cl,2 cl,Whole,,,,,,,,,,,,No,
191,Gin Cooler,11407,,,,,,,,,Ordinary Drink,,Alcoholic,Collins glass,Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,,"Puderzucker und 6 cl. kohlensäurehaltiges Wasser in einem Collins-Glas verrühren. Das Glas mit Eis füllen und Gin hinzufügen. Mit kohlensäurehaltigem Wasser auffüllen und umrühren. Fügen Sie die Zitronenschale und die Orangenspirale so hinzu, dass das Ende der Orangenspirale über den Glasrand baumelt.",,,,Gin,Carbonated water,Powdered sugar,Orange spiral,Lemon peel,,,,,,,,,,,2 oz ,,,,,,,,,,,,,,,Yes,2016-11-10 23:21:49
192,Gin Daisy,11408,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, Wein, Zitronensaft, Zucker und Grenadine vermengen. Gut schütteln. In ein old-fashioned Glas geben und mit der Kirsche und der Orangenscheibe garnieren.",,,,Gin,Lemon juice,Sugar,Grenadine,Maraschino cherry,Orange,,,,,,,,,,2 oz ,1 oz ,1/2 tsp superfine ,1/2 tsp ,1 ,1 ,,,,,,,,,,Yes,2016-11-10 23:19:04
193,Gin Fizz,11410,,,,,,,"IBA,Classic",,Ordinary Drink,Unforgettables,Alcoholic,Highball glass,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.",,"Alle Zutaten mit Eiswürfel schütteln, außer Sodawasser. In das Glas gießen. Mit Sodawasser auffüllen.",,,,Gin,Lemon,Powdered sugar,Carbonated water,,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,,,,,,,,,,,,,No,2017-09-02 12:29:32
194,Gin Rickey,17230,,,,,,,,,Cocktail,,Alcoholic,Highball glass,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,,Füllen Sie ein hohes Glas halb mit Eis. Gin und Grenadine vermischen und über das Eis gießen. Limetten- oder Zitronensaft hinzufügen und mit Sodawasser auffüllen. Das Glas mit Limetten- und/oder Zitronenscheiben dekorieren.,,,,Gin,Grenadine,lemon,Soda Water,Lime,,,,,,,,,,,2 oz ,1 tsp ,Juice of 1/2 ,Top up with,Garnish,,,,,,,,,,,No,2017-09-08 16:19:05
195,Gin Sling,11415,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,,Puderzucker in einer Mischung aus Wasser und Zitronensaft auflösen. Gin hinzufügen. In ein old-fashioned Glas über Eiswürfel gießen und umrühren. Die  Orangenspirale hinzufügen und servieren.,,,,Gin,Lemon,Powdered sugar,Water,Orange peel,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1 tsp ,Twist of ,,,,,,,,,,,Yes,2017-09-08 16:10:40
196,Gin Smash,11416,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",,"Den Zucker mit kohlensäurehaltigem Wasser und Minzzweigen in einem old-fashioned Glas vermengen. Gin und 1 Eiswürfel dazugeben. Umrühren, die Orangenscheibe und die Kirsche dazugeben und servieren.",,,,Gin,Carbonated water,Sugar,Mint,Orange,Cherry,,,,,,,,,,2 oz ,1 oz ,1 cube ,4 ,1 slice ,1 ,,,,,,,,,,No,2017-09-08 16:14:16
197,Gin Sour,11417,,,,,,,,,Ordinary Drink,,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, Gin, Zitronensaft und Zucker mischen. Gut schütteln. In ein Sour Glas abseihen und mit der Orangenscheibe und der Kirsche garnieren.",,,,Gin,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,,,,,,2 oz ,1 oz ,1/2 tsp superfine ,1 ,1 ,,,,,,,,,,,No,2017-09-08 16:12:03
