id,nameDisplay,abv,isOrganic,styleId,style_categoryId,style_category_name,style_name,style_shortName,style_description,style_ibuMin,style_ibuMax,style_abvMin,style_abvMax,style_srmMin,style_srmMax,style_ogMin,style_fgMin,style_fgMax,name,brewery_id,brewery_name,brewery_nameShortDisplay,brewery_isInBusiness,brewery_isVerified,description,originalGravity,ibu,style_ogMax,style_category_description
bFMDB3,Portsmouth Barleywine,11,N,34.0,3.0,North American Origin Ales,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,Portsmouth Barleywine,4F7QA9,Portsmouth Brewery,Portsmouth,Y,N,"With a deep amber and full-body, this intensely bold beer is made to show off the true qualities of the malts used.  Flavors of figs and dates and malt sweetness predominate with enough earthiness from the hops to make this beer well-balanced, but insanely flavorful.",,100,,
bZ8hmu,Potato Schwarzbier,4.9,Y,84.0,7.0,European-germanic Lager,German-Style Schwarzbier,Schwarzbier,"These very dark brown to black beers have a mild roasted malt character without the associated bitterness. This is not a fullbodied beer, but rather a moderate body gently enhances malt flavor and aroma with low to moderate levels of sweetness. Hop bitterness is low to medium in character. Noble-type hop flavor and aroma should be low but perceptible. There should be no fruity esters. Diacetyl should not be perceived.",22,30,3.8,5,25,30,1.044,1.01,1.016,Potato Schwarzbier,p1tFbP,Jackalope Brewing Company,Jackalope,Y,N,,,26,,
UBcopK,Premium 219 Pilsner,4.7,N,98.0,8.0,North American Lager,American-Style Pilsener,American Pilsener,"This classic and unique pre-Prohibition American-style Pilsener is straw to deep gold in color. Hop bitterness, flavor and aroma are medium to high, and use of noble-type hops for flavor and aroma is preferred. Up to 25 percent corn and/or rice in the grist should be used. Malt flavor and aroma are medium. This is a light-medium to medium-bodied beer. Sweet corn-like dimethylsulfide (DMS), fruity esters and American hop-derived citrus flavors or aromas should not be perceived. Diacetyl is not acceptable. There should be no chill haze. Competition organizers may wish to subcategorize this style into rice and corn subcategories.",25,40,5,6,3,6,1.045,1.012,1.018,Premium 219 Pilsner,yX6twV,Laughing Dog Brewing,Laughing Dog,Y,N,,,,,
RDSydO,Prince Myshkin,9,N,43.0,3.0,North American Origin Ales,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,Prince Myshkin,p3YrOa,Dock Street Brewery,Dock Street,Y,N,,,,,
AWdfjO,Priscilla,5.2,N,65.0,5.0,Belgian And French Origin Ales,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,Belgian white ales are very pale in color and are brewed using unmalted wheat and malted barley and are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. An unfiltered starch and yeast haze should be part of the appearance. The low to medium body should have some degree of creaminess from wheat starch. The style is further characterized by the use of noble-type hops to achieve low hop bitterness and little to no apparent hop flavor. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.,10,17,4.8,5.2,2,4,1.044,1.006,1.01,Priscilla,q6vJUK,Oskar Blues Brewery,Oskar Blues,Y,N,"This AmeriCAN take on the Belgian Classic Wit, featuring orange peel and coriander spice emanated from the basement blues music legacy Dave McIntyre (Oskar Blusologist) built at the original Oskar Blues Grill & Brew in Lyons, CO. On draft for over a decade, Priscilla's zesty citrus and light fresh baked bread aromas mix with spicy, fruity fermentation. Light bodied with a subtle savory spice accent and a dry, lightly tart finish you can nearly feel the flicker of the neon and sounds of the King. White Wit Wheat.",,20,,
y5dpHI,Prisoner of Hell,8,N,61.0,5.0,Belgian And French Origin Ales,Belgian-Style Blonde Ale,Belgian Blonde,"Belgian-style blond ales are characterized by low yet evident hop bitterness, flavor, and sometimes aroma. Light to medium body and low malt aroma with a sweet, spiced and a low to medium fruity-ester character orchestrated in flavor and aroma. Sugar may be used to lighten perceived body. They are blonde to golden in color. Noble-type hops are commonly used. Low levels of phenolic spiciness from yeast byproducts may be perceived. Diacetyl should not be perceived. Acidic character should not be present. Chill haze is allowable at cold temperatures.",15,30,6,7.8,4,7,1.054,1.008,1.014,Prisoner of Hell,p3YrOa,Dock Street Brewery,Dock Street,Y,N,,,,,
NQwb75,Puck American Pale Ale,5.2,Y,25.0,3.0,North American Origin Ales,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,Puck American Pale Ale,p1tFbP,Jackalope Brewing Company,Jackalope,Y,N,,,,,
LDo4fA,Puff The Magic Cyser,8.5,N,143.0,12.0,"Mead, Cider, & Perry",Cyser (Apple Melomel),Cyser,"In well-made examples of the style, the fruit is both distinctive and well-incorporated into the honey-sweet-acid-tannin-alcohol balance of the mead. Some of the best strong examples have the taste and aroma of an aged Calvados (apple brandy from northern France), while subtle, dry versions can taste similar to many fine white wines.",,,,,,,,,,Puff The Magic Cyser,AqEUBQ,New Holland Brewing Company,New Holland,Y,N,"Puff the Magic Cyser is a collaborative barrel aged product between Vander Mill and New Holland Brewing Company.

This cyser is fermented with Michigan wildflower honey to complete dryness and then aged in New Holland Dragon's Milk barrels for 8 months.  The richness from the stout and depth of the barrel flavor make this product very complex.  A hint of the honey and acidity of the cider round out the profile.",,,,
FMWVLR,Puget Brown Porter,5.6,N,18.0,1.0,British Origin Ales,Brown Porter,Brown Porter,"Brown porters are mid to dark brown (may have red tint) in color. No roast barley or strong burnt/black malt character should be perceived. Low to medium malt sweetness, caramel and chocolate is acceptable along with medium hop bitterness. This is a lightto medium-bodied beer. Fruity esters are acceptable. Hop flavor and aroma may vary from being negligible to medium in character.",20,30,4.5,6,20,35,1.04,1.006,1.014,Puget Brown Porter,DMU2Kf,Harmon Brewing Company,Harmon,Y,N,"Our brown porter is brewed with eight different malts to produce a smooth, well balanced, dark beer. A specially roasted barley provides a hint of chocolate. 5.6% ABV",,,,
EbwOyu,Pulled Porter,7.7,N,38.0,3.0,North American Origin Ales,Smoke Porter,Smoke Porter,"Smoke porters are chestnut brown to black in color. They can exhibit a mild to assertive smoke character in balance with other beer characters. Black malt character can be perceived in some porters, while others may be absent of strong roast character. Roast barley character should be absent. Medium to full malt sweetness, caramel and chocolate are acceptable along with medium to medium-high hop bitterness. These beers are usually medium to full bodied. Fruity esters are acceptable. Hop flavor and aroma may vary from being negligible to medium in character.",20,40,5,8.7,20,20,1.04,1.006,1.014,Pulled Porter,TMc6H2,SweetWater Brewing Company,Sweetwater,Y,N,"On the farm way too long, ol’ McDanko began showing some worrisome tendencies. Following a solid session in the hot box smoking malt, he was overcome by a methane cloud emoted from the herd. Ya heard? Reaching for the hops, he goofed and grabbed porky by the e-i-e-i-oh and plopped her in the brew kettle slow and low —that is the tempo. Knock knock —who’s them? It’s McDanko’s inbred neighbor, Geri Reynolds, swinging by delivering his deliverance with some fat back hem and some fat back them. Stepping out past some Foxy brothers picking a banjo on the porch to sample his wares, McDanko, doubled over the chopping block and squealed like a pig – wieii wieii — proclaiming this to be the most bodacious bacon beer brewed this side of the Chattoog-a!",,,,
UimBmb,Pumpkin Chub,8,N,121.0,11.0,Hybrid/mixed Beer,Pumpkin Beer,Pumpkin Beer,"Pumpkin beers are any beers using pumpkins (Cucurbito pepo) as an adjunct in either mash, kettle, primary or secondary fermentation, providing obvious (ranging from subtle to intense), yet harmonious, qualities. Pumpkin qualities should not be overpowered by hop character. These may or may not be spiced or flavored with other things. A statement by the brewer explaining the nature of the beer is essential for fair assessment in competitions. If this beer is a classic style with pumpkin, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,Pumpkin Chub,q6vJUK,Oskar Blues Brewery,Oskar Blues,Y,N,,,,,
EyM4tM,Pumpkin Spice Latte : Nitro Series,5.5,N,42.0,3.0,North American Origin Ales,American-Style Stout,American Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",35,60,5.7,8.8,40,40,1.05,1.01,1.022,Pumpkin Spice Latte : Nitro Series,IImUD9,Breckenridge Brewery,Breckenridge,Y,N,"Pumpkin Spice Latte is a stout made with dark roasted malts and carefully roasted, cold pressed coffee beans. Vanilla, cinnamon, nutmeg, and cloves delicately complement the taste of rich pumpkin. These well-balanced fall flavors presented with the velvety texture of nitrogen create a truly distinctive and delicious beer.",,11,,
otVuwu,Purebred A.P.A. Citra,6.2,N,29.0,3.0,North American Origin Ales,American-Style Strong Pale Ale,American Strong Pale,"American strong pale ales range from deep golden to copper in color. The style is characterized by floral and citrus-like American-variety hops used to produce high hop bitterness, flavor, and aroma. Note that floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character is the perceived end, but may be a result of the skillful use of hops of other national origins. American strong pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruityester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",40,50,5.5,6.3,6,14,1.05,1.008,1.016,Purebred A.P.A. Citra,yX6twV,Laughing Dog Brewing,Laughing Dog,Y,N,The first in our Purebred series of single hop A.P.A.s showcases the hop variety Citra. These are used for everything from bittering and flavor to aroma. The soft bitterness of the Citra hop makes this an extremely drinkable beer.,,67.8,,
I1L4J0,Quinn's Amber Ale,4.8,N,32.0,3.0,North American Origin Ales,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,Quinn's Amber Ale,DifSi4,Wachusett Brewing Company,Wachusett,Y,N,"An easy drinking ale with low bitterness and a subtle malt profile. 
Balanced finish, 5 grains, 3 hops.",,19,,
OAko81,R. Prime,6.2,N,30.0,3.0,North American Origin Ales,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,R. Prime,VEY3Xa,Zero Gravity Craft Brewery,Zero Gravity Craft,Y,N,Named in honor of famed Indian mathematician Ramanujan. The inaugural batch of this beer was a collaboration with our esteemed colleague Matt Welz. Simcoe + Citra = R’.,1.065,65,,
otkATx,Rain Check,,N,44.0,3.0,North American Origin Ales,Specialty Stouts,Stout,"See British Origin American-Style Imperial Porter Imperial porters are very dark brown to black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness should be in harmony with medium-low to medium hop bitterness. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment malt derived sweetness and hop character. Hop flavor and aroma may vary from being low to medium-high. Diacetyl (butterscotch) levels should be absent.",35,50,7,12,40,40,1.08,1.02,1.03,Rain Check,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,,,,,
s1eqWg,Rainy Day Blues,6,Y,104.0,9.0,Other Lager,Baltic-Style Porter,Baltic Porter,"A true smooth cold-fermented and cold lagered beer, brewed with lager yeast. Black to very deep ruby/garnet in color. Overall, Baltic Porters have a very smooth lagered character with distinctive caramelized sugars, licorice and chocolate-like character of roasted malts and dark sugars. Roasted dark malts should not contribute bitterness, or astringent roast character. A low degree of smokiness from malt may be evident. Debitterized roast malts are best used for this style. Because of its alcoholic strength, aroma may include gentle (low) lager fruitiness (berries, grapes, plums, not banana; ale-like fruitiness from warm temperature fermentation is not appropriate), complex alcohols, cocoa-like, roast malt (and sometimes coffee-like roast barley, yet not bitter). Hop aroma is very low, though a hint of floral or sweet hop aroma can complement aromatics and flavor without dominance. Baltic Porters are not hop bitter dominated and expressed as low to medium-low. Baltic porters range from having medium to full body complemented with a medium-low to medium level of malty sweetness. No butterscotch-like diacetyl or sweet corn-like dimethylsulfide (DMS) should be apparent in aroma or flavor.",35,40,7.5,9,40,40,1.072,1.016,1.022,Rainy Day Blues,p1tFbP,Jackalope Brewing Company,Jackalope,Y,N,"Notes of chocolate, molasses, and blueberries, which are added during fermentation), and just the right amount of malty sweetness
 in this full-bodied Baltic Porter.",,25,,
WUHF66,Rascal's Wild Red,8,N,119.0,11.0,Hybrid/mixed Beer,Fruit Beer,Fruit Beer,"Fruit beers are any beers using fruit or fruit extracts as an adjunct in either, the mash, kettle, primary or secondary fermentation providing obvious (ranging from subtle to intense), yet harmonious, fruit qualities. Fruit qualities should not be overpowered by hop character. If a fruit (such as juniper berry) has an herbal or spice quality, it is more appropriate to consider it in the herb and spice beers category. Acidic bacterial (not wild yeast) fermentation characters may be evident (but not necessary) they would contribute to acidity and enhance fruity balance. Clear or hazy beer is acceptable in appearance. A statement by the brewer explaining what fruits are used is essential in order for fair assessment in competitions. If this beer is a classic style with fruit, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,Rascal's Wild Red,BznahA,Anheuser-Busch InBev,Anheuser-Busch InBev,Y,N,,,,,
NCsyAW,Raz-Ber-Rita,8,N,161.0,14.0,Malternative Beverages,Flavored Malt Beverage,Flavored Malt Beverage,"Flavored malt beverages are brewery products that are different from traditional malt beverages like malt liquor, ales, and lagers in several aspects. Flavored malt beverages exhibit little or no traditional beer or malt beverage flavor characteristics. Their flavor is primarily derived from added flavoring rather than from malt and other materials used in fermentation. However,  flavored malt beverages are marketed in traditional beer bottles and cans and distributed to the alcohol beverage market through beer and malt beverage wholesalers. Their alcohol content is similar to other malt beverages – in the range of 4-6% alcohol by volume.",,,4,6,,,,,,Raz-Ber-Rita,BznahA,Anheuser-Busch InBev,Anheuser-Busch InBev,Y,N,,,,,"Malternative Beverages, also known as ""ready-to-drink"" beverages, are sweet, sometime carbonated, beverages that are low in alcohol."
bM2eLl,Red Between the Lines,6.2,N,32.0,3.0,North American Origin Ales,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,Red Between the Lines,941OaA,Last Name Brewing,Dale Bros.,Y,N,"Not your average amber ale.  A big malt beer balanced with a hefty hop bitterness.  The red color and strong malt flavor comes from dark Munich and Caramel Munich malts.  The hops are all American with three hop additions during the boil and dry hopping.  Though the strength of this beer is its malt backbone, there is a definite hop fruit flavor in the finish.",1.064,50,,
p0Qbef,Red Ryeot,6.5,N,117.0,11.0,Hybrid/mixed Beer,Rye Ale or Lager with or without Yeast,Rye Ale,"Rye beers can be made using either ale or lager yeast. It should be brewed with at least 20 percent rye malt, and low to medium perception of hop bitterness. Hop aroma and flavor can be low to medium-high. These are often versions of classic styles that contain noticeable rye character in balance with other qualities of the beer. A spicy, fruity-estery aroma and flavor are typical but at low levels; however, phenolic, clove-like characteristics should not be perceived. Color is straw to amber, and the body should be light to medium in character. Diacetyl should not be perceived. If this style is packaged and served without yeast, no yeast characters should be evident in mouthfeel, flavor, or aroma. A low level of tannin derived astringency may be perceived. If this style is served with yeast, the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of rye and barley malt and hops. Darker versions of this style will be dark amber to dark brown, and the body should be light to medium in character. Roasted malts are optionally evident in aroma and flavor with a low level of roast malt astringency acceptable when appropriately balanced with malt sweetness. Roast malts may be evident as a cocoa/chocolate or caramel character. Aromatic toffee-like, caramel, or biscuit-like characters may be part of the overall flavor/aroma profile. As in the lighter colored versions, diacetyl should not be perceived. Competition directors may create specific styles of rye beer, such as Rye Pale Ale or Rye Brown Ale. A statement by the brewer indicating if the beer is based on a classic style is essential for accurate judging.",,,,,,,,,,Red Ryeot,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,,,,,
txhujB,Red Tulip,,N,,,,,,,,,,,,,,,,Red Tulip,AqEUBQ,New Holland Brewing Company,New Holland,Y,N,"A red ale with rich and smooth flavors of malted barley, balanced by underlying hints of dark fruit. Brewed in homage to our hometown tulip festival, Red Tulip evokes springÃ¢â?¬â?¢s renewing spirit. Excellent with roasted pork, red-meats and dried fruit.",,,,
GIO3Xe,Red-oric - Beer Camp #65 (Best Of Beer Camp: Imperial Red Ale),8,N,32.0,3.0,North American Origin Ales,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,Red-oric - Beer Camp #65 (Best Of Beer Camp: Imperial Red Ale),nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,"Chico, CA—July 18, 2013—Sierra Nevada Brewing Co. is highlighting the best of its 2012 Beer Camp sessions with a new variety 12-pack featuring three hop-forward brews.

#65 Imperial Red Ale—Our aggressive Imperial Red Ale is a massive mix of smooth malts and West Coast hops that have no patience for the lupulin leery. This crimson beer starts with caramel-like malt flavor that can’t suppress the assertive, citrusy hop finale.",,,,
7aeVlx,Redbridge,4,N,127.0,11.0,Hybrid/mixed Beer,Gluten-Free Beer,Gluten-Free Beer,"A beer (lager, ale or other) that is made from fermentable sugars, grains and converted carbohydrates. Ingredients do not contain gluten, in other words zero gluten (No barley, wheat, spelt, oats, rye, etc). May or may not contain malted grains that do not contain gluten. Brewers may or may not design and identify these beers along other style guidelines with regard to flavor, aroma and appearance profile. The beer's overall balance and character should be based on its own merits and not necessarily compared with traditional styles of beer. In competitions, brewers identify ingredients and fermentation type. NOTE: These guidelines do not supersede any government regulations. Wine, mead, flavored malt beverages or beverages other than beer as defined by the TTB (U.S. Trade and Tax Bureau) are not considered ""gluten-free beer"" under these guidelines.",,,,,,,,,,Redbridge,BznahA,Anheuser-Busch InBev,Anheuser-Busch InBev,Y,N,"Redbridge beer doesn't need to make promises to stand out from the crowd; its very essence sets it apart. Redbridge is made without wheat or barley, so the approximately 3.2 million consumers who are unable to drink beer made with barley due to Celiac Disease or because they follow a wheat-free or gluten-free diet can once again enjoy a great tasting beer. Redbridge is a rich, full-bodied lager brewed from sorghum for a well-balanced, moderately hopped taste.",,,,
UPDwhn,Reeb Rye'd PA,7,N,117.0,11.0,Hybrid/mixed Beer,Rye Ale or Lager with or without Yeast,Rye Ale,"Rye beers can be made using either ale or lager yeast. It should be brewed with at least 20 percent rye malt, and low to medium perception of hop bitterness. Hop aroma and flavor can be low to medium-high. These are often versions of classic styles that contain noticeable rye character in balance with other qualities of the beer. A spicy, fruity-estery aroma and flavor are typical but at low levels; however, phenolic, clove-like characteristics should not be perceived. Color is straw to amber, and the body should be light to medium in character. Diacetyl should not be perceived. If this style is packaged and served without yeast, no yeast characters should be evident in mouthfeel, flavor, or aroma. A low level of tannin derived astringency may be perceived. If this style is served with yeast, the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of rye and barley malt and hops. Darker versions of this style will be dark amber to dark brown, and the body should be light to medium in character. Roasted malts are optionally evident in aroma and flavor with a low level of roast malt astringency acceptable when appropriately balanced with malt sweetness. Roast malts may be evident as a cocoa/chocolate or caramel character. Aromatic toffee-like, caramel, or biscuit-like characters may be part of the overall flavor/aroma profile. As in the lighter colored versions, diacetyl should not be perceived. Competition directors may create specific styles of rye beer, such as Rye Pale Ale or Rye Brown Ale. A statement by the brewer indicating if the beer is based on a classic style is essential for accurate judging.",,,,,,,,,,Reeb Rye'd PA,q6vJUK,Oskar Blues Brewery,Oskar Blues,Y,N,,,65,,
zAC6PV,Regal Pilsner,7,N,98.0,8.0,North American Lager,American-Style Pilsener,American Pilsener,"This classic and unique pre-Prohibition American-style Pilsener is straw to deep gold in color. Hop bitterness, flavor and aroma are medium to high, and use of noble-type hops for flavor and aroma is preferred. Up to 25 percent corn and/or rice in the grist should be used. Malt flavor and aroma are medium. This is a light-medium to medium-bodied beer. Sweet corn-like dimethylsulfide (DMS), fruity esters and American hop-derived citrus flavors or aromas should not be perceived. Diacetyl is not acceptable. There should be no chill haze. Competition organizers may wish to subcategorize this style into rice and corn subcategories.",25,40,5,6,3,6,1.045,1.012,1.018,Regal Pilsner,IImUD9,Breckenridge Brewery,Breckenridge,Y,N,"All hail our Brewmaster and the fruits of his labor, Regal Pilsner.

A double Pilsner with distinct hoppy attributes and a pronounced malty backbone. It is strong in character and steadfast in its resolve to provide maximum drinking pleasure. All hail our Brewmaster and the fruits of his labor, Regal Pilsner!",,45,,
Lt3xMf,Renee IPA,,N,30.0,3.0,North American Origin Ales,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,Renee IPA,AqEUBQ,New Holland Brewing Company,New Holland,Y,N,"Renee IPA is a Michigan-grown product in honor of the life of Renee Stanford. The barley used was grown and malted in Shepard, MI by Wendell Banks and the hops came from Empire Orchards and Hop Farms in Empire, MI.

In memory of a dear friend and former employee, Renee Stanford, we brewed Renee IPA. ALL proceeds of each pint sold go directly to her family’s fund.",1.065,80,,
YVWopx,Return of the Red Eye IPA,6.5,N,30.0,3.0,North American Origin Ales,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,Return of the Red Eye IPA,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,,,,,
xZCUbm,Revered Red,5.4,N,32.0,3.0,North American Origin Ales,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,Revered Red,DifSi4,Wachusett Brewing Company,Wachusett,Y,N,,,,,
bztkAM,Rhizing Bines,8,N,31.0,3.0,North American Origin Ales,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,Rhizing Bines,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,"On the hot side, Rhizing Bines will go through Dogfish’s signature continual-hopping process with floral and citrusy Bravo hops. On the cold side, it will be dry-hopped with an experimental varietal so new it doesn’t yet have a name, just a number: Hop 644. A component of Sierra Nevada’s aroma-boosting Torpedo system will make a pit-stop in Delaware for dry-hopping duty before it heads to Sierra’s new North Carolina brewery.

To celebrate Sierra Nevada planting East Coast roots, Dogfish Head tracked down a Carolina heirloom wheat grown and milled at Anson Mills. The soft red winter wheat contributes subtle sweet and nutty notes to this hop-forward ale.",,70,,
